area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"51,53 m²",promo_top_ads,45VP2,,,Oferta prywatna,446700,8669,3 pokoje,Mieszkanie na sprzedaż:,"3 pokoje z balkonem, R. Jeżycki",60523100,https://www.otodom.pl/oferta/3-pokoje-z-balkonem-r-jezycki-ID45VP2.html#2bd0e70758
82 m²,promo_top_ads,46p0W,,,GoldenHome Nieruchomości S.C.,449000,5476,4 pokoje,Mieszkanie na sprzedaż:,"Nowa, niższa cena na ostatni lokal",60631469,https://www.otodom.pl/oferta/nowa-nizsza-cena-na-ostatni-lokal-ID46p0W.html#2bd0e70758
"63,30 m²",promo_top_ads,46ndF,,,Oferta pośrednika,439000,6935,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie w plombie z cegły z ekstra lokalizacją,60624571,https://www.otodom.pl/oferta/mieszkanie-w-plombie-z-cegly-z-ekstra-lokalizacja-ID46ndF.html#2bd0e70758
"64,90 m²",listing_no_promo,467wk,,,Immo House,380000,5855,4 pokoje,Mieszkanie na sprzedaż:,duże mieszkanie z jeszcze większym potencjałem,60564162,https://www.otodom.pl/oferta/duze-mieszkanie-z-jeszcze-wiekszym-potencjalem-ID467wk.html#2bd0e70758
48 m²,listing_no_promo,43IwV,,,Oferta prywatna,449000,9354,2 pokoje,Mieszkanie na sprzedaż:,"Wyjątkowe mieszkanie na Jeżycach, BEZ PROWIZJI",59991444,https://www.otodom.pl/oferta/wyjatkowe-mieszkanie-na-jezycach-bez-prowizji-ID43IwV.html#2bd0e70758
"46,16 m²",listing_no_promo,46z9R,,,Oferta prywatna,350000,7582,2 pokoje,Mieszkanie na sprzedaż:,Sprzedam mieszkanie,60670463,https://www.otodom.pl/oferta/sprzedam-mieszkanie-ID46z9R.html#2bd0e70758
59 m²,listing_no_promo,46s9Y,,,Real Estate Company,535000,9068,2 pokoje,Mieszkanie na sprzedaż:,Apartament 2-pokoje na Jeżycach,60643562,https://www.otodom.pl/oferta/apartament-2-pokoje-na-jezycach-ID46s9Y.html#2bd0e70758
"65,24 m²",listing_no_promo,44NHP,,,BAWA INVEST Spółka z ograniczoną odpowiedzialnością Sp. k.,,,3 pokoje,Mieszkanie na sprzedaż:,Apartamenty Rogozińska - Mieszkanie Górne 20 D,60249729,https://www.otodom.pl/oferta/apartamenty-rogozinska-mieszkanie-gorne-20-d-ID44NHP.html#2bd0e70758
"65,24 m²",listing_no_promo,44NHT,,,BAWA INVEST Spółka z ograniczoną odpowiedzialnością Sp. k.,,,3 pokoje,Mieszkanie na sprzedaż:,Apartamenty Rogozińska - Mieszkanie Górne 20 F,60249733,https://www.otodom.pl/oferta/apartamenty-rogozinska-mieszkanie-gorne-20-f-ID44NHT.html#2bd0e70758
46 m²,listing_no_promo,468S1,,,Obsługa zdalna Oferta prywatna,399500,8685,2 pokoje,Mieszkanie na sprzedaż:,Komfortowe mieszkanie/super lokalizacja/bezpośr,60569413,https://www.otodom.pl/oferta/komfortowe-mieszkanie-super-lokalizacja-bezposr-ID468S1.html#2bd0e70758
"52,14 m²",listing_no_promo,46vIa,,,Oferta prywatna,405000,7768,3 pokoje,Mieszkanie na sprzedaż:,"Strzeszyn Grecki, Poznań ul. Witolda Pileckiego",60661058,https://www.otodom.pl/oferta/strzeszyn-grecki-poznan-ul-witolda-pileckiego-ID46vIa.html#2bd0e70758
"61,07 m²",listing_no_promo,46mUG,,,Obsługa zdalna Manufaktura Mieszkań,399000,6533,3 pokoje,Mieszkanie na sprzedaż:,3 pokojowe - Podolany Nowe - Gotowe do WYKOŃCZENIA,60623394,https://www.otodom.pl/oferta/3-pokojowe-podolany-nowe-gotowe-do-wykonczenia-ID46mUG.html#2bd0e70758
"90,77 m²",listing_no_promo,44moY,,,Ślemp Nieruchomości Radosław Ślemp,555000,6114,4 pokoje,Mieszkanie na sprzedaż:,"Segment: 4 duże pokoje, niezależna, widna kuchnia",60144772,https://www.otodom.pl/oferta/segment-4-duze-pokoje-niezalezna-widna-kuchnia-ID44moY.html#2bd0e70758
"53,50 m²",listing_no_promo,46yKt,,,Obsługa zdalna Oferta prywatna,365000,6822,3 pokoje,Mieszkanie na sprzedaż:,Bezpośrednio! 3 pok.! Park Sołacki! Deweloperskie!,60668889,https://www.otodom.pl/oferta/bezposrednio-3-pok-park-solacki-deweloperskie-ID46yKt.html#2bd0e70758
40 m²,listing_no_promo,46yJm,,,Nieruchomości Miejskie,343000,8575,2 pokoje,Mieszkanie na sprzedaż:,"Jeżyce 2 pokoje, kameralna inwestycja!",60668820,https://www.otodom.pl/oferta/jezyce-2-pokoje-kameralna-inwestycja-ID46yJm.html#2bd0e70758
"44,70 m²",listing_no_promo,46yIE,,,Obsługa zdalna Oferta prywatna,350000,7830,2 pokoje,Mieszkanie na sprzedaż:,"Jeżyce 44,7m2",60668776,https://www.otodom.pl/oferta/jezyce-44-7m2-ID46yIE.html#2bd0e70758
"42,09 m²",listing_no_promo,3Qom8,,,Villa sp. z o.o. sp. k.,414910,9858,2 pokoje,Mieszkanie na sprzedaż:,Nowe Życie Jeżyc 4.10,56815692,https://www.otodom.pl/oferta/nowe-zycie-jezyc-4-10-ID3Qom8.html#2bd0e70758
50 m²,listing_no_promo,46ynV,,,Biuro Obrotu Nieruchomościami WILK,340000,6800,3 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 50 m², Poznań",60667492,https://www.otodom.pl/oferta/mieszkanie-50-m-poznan-ID46ynV.html#2bd0e70758
"55,15 m²",listing_no_promo,43B7K,,,#NIERUCHOMOŚCI,420000,7616,3 pokoje,Mieszkanie na sprzedaż:,Ładne trzy pokoje na Podolanach!,59963036,https://www.otodom.pl/oferta/ladne-trzy-pokoje-na-podolanach-ID43B7K.html#2bd0e70758
"58,50 m²",listing_no_promo,46yjQ,,,Oferta prywatna,379000,6479,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie rozkładowe, Jeżyce ul. Jackowskiego",60667238,https://www.otodom.pl/oferta/mieszkanie-rozkladowe-jezyce-ul-jackowskiego-ID46yjQ.html#2bd0e70758
47 m²,listing_no_promo,45wRf,,,Oferta pośrednika,450000,9574,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie 47m Zajezdnia Poznań,60419449,https://www.otodom.pl/oferta/mieszkanie-47m-zajezdnia-poznan-ID45wRf.html#2bd0e70758
37 m²,listing_no_promo,45uET,,,Oferta prywatna,286000,7730,2 pokoje,Mieszkanie na sprzedaż:,Dwa pokoje w dobrej lokalizacji,60414839,https://www.otodom.pl/oferta/dwa-pokoje-w-dobrej-lokalizacji-ID45uET.html#2bd0e70758
47 m²,listing_no_promo,45EzM,,,Oferta pośrednika,450000,9574,2 pokoje,Mieszkanie na sprzedaż:,Apartament Zajezdnia Poznań,60452962,https://www.otodom.pl/oferta/apartament-zajezdnia-poznan-ID45EzM.html#2bd0e70758
"55,26 m²",listing_no_promo,456PR,,,Smart Nieruchomości,499000,9030,2 pokoje,Mieszkanie na sprzedaż:,"Jasielska,Balkon, Miejsce Postojowe, Winda,2014R",60323263,https://www.otodom.pl/oferta/jasielska-balkon-miejsce-postojowe-winda-2014r-ID456PR.html#2bd0e70758
"34,70 m²",listing_no_promo,45KFH,,,Oferta pośrednika,370000,10663,2 pokoje,Mieszkanie na sprzedaż:,Poznań Zajezdnia 2 pokoje,60476393,https://www.otodom.pl/oferta/poznan-zajezdnia-2-pokoje-ID45KFH.html#2bd0e70758
41 m²,listing_no_promo,46sGx,,,Starówka Nieruchomości,318000,7756,2 pokoje,Mieszkanie na sprzedaż:,"M-3 Jeżyce, idealne pod wynajem",60645581,https://www.otodom.pl/oferta/m-3-jezyce-idealne-pod-wynajem-ID46sGx.html#2bd0e70758
50 m²,listing_no_promo,42x5m,,,Oferta prywatna,439000,8780,2 pokoje,Mieszkanie na sprzedaż:,BEZPOŚR. Piękne mieszkanie po remoncie OD ZARAZ,59709184,https://www.otodom.pl/oferta/bezposr-piekne-mieszkanie-po-remoncie-od-zaraz-ID42x5m.html#2bd0e70758
"56,70 m²",listing_no_promo,46alB,,,Oferta prywatna,345000,6085,2 pokoje,Mieszkanie na sprzedaż:,Sprzedaż mieszkania,60575091,https://www.otodom.pl/oferta/sprzedaz-mieszkania-ID46alB.html#2bd0e70758
"85,75 m²",listing_no_promo,3CpHe,,,Oferta prywatna,557375,6500,4 pokoje,Mieszkanie na sprzedaż:,"Atrakcyjne mieszkanie, 4 pokoje, z ogródkiem",53484252,https://www.otodom.pl/oferta/atrakcyjne-mieszkanie-4-pokoje-z-ogrodkiem-ID3CpHe.html#2bd0e70758
